"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Ramírez, José",608070,"CLE","CH","Changeup",1.5,7,"472",17.3,"131","0.267","0.5","0.345",16.3,9.9,8.8,"0.263","0.395","0.312",33.9
"Raleigh, Cal",663728,"SEA","CH","Changeup",0.4,2,"461",18.3,"125","0.22","0.441","0.291",34.4,24,18.4,"0.251","0.487","0.328",34.4
"Rutschman, Adley",668939,"BAL","CH","Changeup",1.1,4,"419",16.2,"116","0.226","0.321","0.266",19.6,12.1,9.9,"0.266","0.358","0.298",24.5
"Greene, Riley",682985,"DET","CH","Changeup",0.8,3,"381",15.8,"109","0.245","0.367","0.302",36.6,32.1,25,"0.215","0.354","0.284",35.9
"Happ, Ian",664023,"CHC","CH","Changeup",-1.1,-5,"451",16.6,"108","0.204","0.233","0.217",40.4,28.7,23.3,"0.226","0.301","0.253",25
"De La Cruz, Elly",682829,"CIN","CH","Changeup",-0.3,-1,"411",14.9,"107","0.238","0.376","0.288",40.6,28,25.2,"0.243","0.356","0.282",23.9
"Bell, Josh",605137,"AZ","CH","Changeup",-0.7,-3,"411",18.4,"107","0.204","0.276","0.261",34,23.4,20.5,"0.196","0.287","0.245",29.7
"Naylor, Josh",647304,"CLE","CH","Changeup",-0.4,-1,"382",16.7,"106","0.229","0.448","0.333",31.3,19.8,21,"0.244","0.436","0.329",40
"Reynolds, Bryan",668804,"PIT","CH","Changeup",2.5,10,"420",16.1,"101","0.312","0.441","0.372",39.4,21.8,18.5,"0.263","0.377","0.319",32.4
"Marte, Ketel",606466,"AZ","CH","Changeup",0.5,2,"381",17.8,"101","0.24","0.458","0.324",20.3,13.9,13.9,"0.317","0.49","0.366",41.5
"Bleday, JJ",668709,"OAK","CH","Changeup",-1.1,-4,"376",15.1,"100","0.194","0.258","0.233",40.2,29,26.6,"0.207","0.329","0.264",31.3
"Henderson, Gunnar",683002,"BAL","CH","Changeup",1.2,5,"381",13.2,"98","0.258","0.452","0.334",29.9,23.5,20.4,"0.277","0.432","0.319",53.5
"Keith, Colt",690993,"DET","CH","Changeup",0.9,3,"303",15,"94","0.239","0.42","0.318",25.3,18.1,18.5,"0.261","0.4","0.311",28.2
"Soto, Juan",665742,"NYY","CH","Changeup",2.3,9,"415",14,"93","0.25","0.447","0.362",29.7,21.5,16.4,"0.214","0.401","0.348",47.4
"Lindor, Francisco",596019,"NYM","CH","Changeup",0.6,2,"320",11.8,"92","0.289","0.478","0.336",21,18.5,17.5,"0.267","0.427","0.307",31.5
"Cowser, Colton",681297,"BAL","CH","Changeup",-2,-7,"355",15.4,"91","0.185","0.247","0.245",43.2,29.7,26.7,"0.173","0.239","0.235",25.9
"Santander, Anthony",623993,"BAL","CH","Changeup",1.9,6,"333",12.2,"89","0.25","0.525","0.363",21.6,15.7,12,"0.258","0.467","0.348",45.5
"Smith, Josh",669701,"TEX","CH","Changeup",-0.3,-1,"298",12.8,"88","0.229","0.325","0.28",27.4,18.2,16.3,"0.231","0.316","0.266",32.4
"Castro, Willi",650489,"MIN","CH","Changeup",-0.5,-2,"347",13.8,"87","0.193","0.277","0.241",39.8,26.4,19.3,"0.178","0.247","0.204",18
"Profar, Jurickson",595777,"SD","CH","Changeup",1.7,5,"320",11.7,"85","0.325","0.481","0.382",20.4,14.1,10.3,"0.312","0.46","0.355",47.1
"Taveras, Leody",665750,"TEX","CH","Changeup",-1.7,-6,"325",16.2,"83","0.195","0.247","0.234",38.4,18.1,18.1,"0.24","0.305","0.271",19.4
"Santana, Carlos",467793,"MIN","CH","Changeup",2,7,"357",14.7,"82","0.273","0.468","0.34",26.2,13.4,12.1,"0.245","0.411","0.306",39.4
"Abrams, CJ",682928,"WSH","CH","Changeup",-0.5,-1,"259",11.5,"80","0.183","0.282","0.256",19,16.3,15.1,"0.249","0.365","0.315",37.9
"Guerrero Jr., Vladimir",665489,"TOR","CH","Changeup",3.1,8,"259",10,"80","0.288","0.479","0.383",27,18.8,16.1,"0.28","0.506","0.369",53.4
"Harper, Bryce",547180,"PHI","CH","Changeup",3.7,10,"272",11,"79","0.31","0.62","0.434",30.4,17.7,17.9,"0.261","0.53","0.372",38.6
"Burger, Jake",669394,"MIA","CH","Changeup",-0.9,-2,"254",12.2,"78","0.153","0.278","0.225",42.4,34.6,31.8,"0.207","0.308","0.254",28.3
"Brennan, Will",686823,"CLE","CH","Changeup",-0.7,-1,"191",15.5,"77","0.233","0.329","0.279",18,11.7,16.4,"0.297","0.366","0.312",10.9
"Lowe, Brandon",664040,"TB","CH","Changeup",-0.9,-3,"285",17.5,"76","0.188","0.348","0.264",37.6,19.7,17.9,"0.204","0.341","0.264",33.9
"Butler, Lawrence",671732,"OAK","CH","Changeup",0.3,1,"287",15.8,"76","0.219","0.329","0.255",41.3,25,24.1,"0.229","0.391","0.282",29.6
"Diaz, Yainer",673237,"HOU","CH","Changeup",-3.6,-8,"217",10.2,"76","0.176","0.216","0.222",25.5,14.5,16.4,"0.24","0.357","0.269",33.3
"Conforto, Michael",624424,"SF","CH","Changeup",-0.9,-2,"272",13.8,"75","0.167","0.25","0.213",31.1,25.3,19.6,"0.226","0.352","0.269",32.1
"McMahon, Ryan",641857,"COL","CH","Changeup",0.5,1,"238",8.7,"74","0.235","0.397","0.299",29.4,16.2,16.2,"0.276","0.521","0.362",45.6
"Seager, Corey",608369,"TEX","CH","Changeup",1.6,4,"274",14.6,"74","0.328","0.463","0.395",21,6.8,8.1,"0.337","0.525","0.403",30.6
"Heim, Jonah",641680,"TEX","CH","Changeup",-2.7,-6,"230",12.9,"73","0.164","0.233","0.185",23.8,15.1,14.5,"0.203","0.326","0.227",30.6
"Turang, Brice",668930,"MIL","CH","Changeup",-1.1,-3,"269",10.9,"73","0.181","0.25","0.197",15.7,13.7,11.6,"0.258","0.311","0.249",14.3
"Pasquantino, Vinnie",686469,"KC","CH","Changeup",1.3,4,"310",14.5,"73","0.266","0.531","0.361",16,11,9.2,"0.278","0.485","0.36",41.4
"Witt Jr., Bobby",677951,"KC","CH","Changeup",0.3,1,"205",7.9,"73","0.265","0.397","0.326",28.2,16.4,17.9,"0.305","0.441","0.349",37.5
"Ohtani, Shohei",660271,"LAD","CH","Changeup",2.7,8,"315",11.1,"73","0.318","0.621","0.416",28.4,15.1,13.8,"0.34","0.665","0.451",48.2
"Ruiz, Keibert",660688,"WSH","CH","Changeup",-0.2,0,"219",13.2,"73","0.246","0.348","0.263",15.1,9.6,12.7,"0.239","0.31","0.255",29.7
"Pérez, Wenceel",672761,"DET","CH","Changeup",1.8,4,"235",13.4,"73","0.265","0.412","0.332",21.6,13.7,11.9,"0.275","0.401","0.32",29.3
"Wells, Austin",669224,"NYY","CH","Changeup",-0.6,-1,"240",14.7,"72","0.227","0.364","0.282",37.2,23.6,24.3,"0.248","0.402","0.306",32.7
"Duran, Jarren",680776,"BOS","CH","Changeup",2.4,6,"245",8.6,"72","0.328","0.552","0.41",25.6,18.1,19.4,"0.294","0.412","0.333",40.7
"Verdugo, Alex",657077,"NYY","CH","Changeup",1.5,3,"229",9.8,"72","0.194","0.313","0.263",15,16.7,13,"0.285","0.39","0.32",34.5
"Polanco, Jorge",593871,"SEA","CH","Changeup",-0.3,-1,"311",16,"71","0.159","0.27","0.254",45.7,35.2,25,"0.213","0.327","0.285",23.7
"García, Adolis",666969,"TEX","CH","Changeup",-1.2,-3,"252",9.9,"71","0.203","0.348","0.251",39.1,25.4,20,"0.232","0.478","0.302",48.1
"Wade Jr., LaMonte",664774,"SF","CH","Changeup",-1.5,-4,"262",16,"71","0.162","0.25","0.199",37.2,35.2,29.1,"0.186","0.336","0.242",34.9
"Cruz, Oneil",665833,"PIT","CH","Changeup",-0.4,-1,"280",11.8,"71","0.303","0.47","0.358",43.8,29.6,24.4,"0.229","0.358","0.284",40
"Semien, Marcus",543760,"TEX","CH","Changeup",2.3,6,"260",9.9,"71","0.246","0.41","0.378",22.6,16.9,13.2,"0.2","0.285","0.28",26.5
"Carroll, Corbin",682998,"AZ","CH","Changeup",1.9,5,"250",9.4,"71","0.246","0.554","0.366",27.5,18.3,14.6,"0.267","0.454","0.333",43.4
"Rodríguez, Julio",677594,"SEA","CH","Changeup",-2,-5,"253",10.6,"70","0.169","0.231","0.238",36.8,35.7,25.8,"0.184","0.277","0.235",45
"Altuve, Jose",514888,"HOU","CH","Changeup",1.4,4,"258",10.5,"70","0.313","0.448","0.338",27.2,20,17.9,"0.236","0.321","0.261",26.4
"Hernández, Teoscar",606192,"LAD","CH","Changeup",5.7,11,"198",7.6,"70","0.328","0.656","0.464",42.1,30,28.8,"0.269","0.521","0.367",44.2
"Schanuel, Nolan",694384,"LAA","CH","Changeup",1.6,4,"249",10.6,"70","0.276","0.345","0.341",15.5,12.9,13.2,"0.319","0.384","0.372",22
"Stott, Bryson",681082,"PHI","CH","Changeup",-0.7,-2,"257",11.1,"70","0.227","0.227","0.246",19.7,21.4,17.2,"0.257","0.324","0.281",19.6
"Kwan, Steven",680757,"CLE","CH","Changeup",0.5,1,"236",10.9,"70","0.212","0.273","0.266",8.7,7.1,5.8,"0.258","0.32","0.279",14.8
"Candelario, Jeimer",600869,"CIN","CH","Changeup",0.5,1,"222",12.5,"69","0.246","0.415","0.311",26.8,5.8,6,"0.258","0.359","0.292",31.1
"Rocchio, Brayan",677587,"CLE","CH","Changeup",-1.7,-4,"234",14,"69","0.149","0.254","0.188",38.7,30.4,26.9,"0.202","0.315","0.238",28.3
"Chisholm Jr., Jazz",665862,"NYY","CH","Changeup",1.1,3,"279",11.2,"68","0.281","0.516","0.36",35,23.5,17.2,"0.28","0.447","0.336",37.5
"O'Hearn, Ryan",656811,"BAL","CH","Changeup",0,0,"260",13.5,"68","0.213","0.328","0.274",28.3,17.6,15.6,"0.252","0.45","0.333",38
"De La Cruz, Bryan",650559,"PIT","CH","Changeup",2,4,"193",8.1,"67","0.292","0.508","0.351",33.9,28.4,31.1,"0.292","0.507","0.352",30.4
"Melendez, MJ",669004,"KC","CH","Changeup",-0.5,-1,"229",12.4,"67","0.226","0.468","0.334",21.8,9,7.9,"0.277","0.406","0.325",33.9
