"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Cruz, Oneil",665833,"PIT","CU","Curveball",-1.7,-6,"335",14.1,"83","0.16","0.333","0.264",55.4,47,33.3,"0.185","0.331","0.266",50
"Harper, Bryce",547180,"PHI","CU","Curveball",-0.5,-1,"283",11.5,"79","0.233","0.397","0.301",38,30.4,25.8,"0.214","0.327","0.269",40.8
"Duran, Jarren",680776,"BOS","CU","Curveball",1.6,4,"243",8.5,"77","0.288","0.521","0.372",29.7,20.8,17,"0.268","0.462","0.333",42.1
"Lindor, Francisco",596019,"NYM","CU","Curveball",1.8,5,"286",10.5,"75","0.286","0.529","0.369",34.8,20,15.2,"0.259","0.447","0.329",41.8
"Abrams, CJ",682928,"WSH","CU","Curveball",-1.7,-4,"241",10.7,"74","0.194","0.328","0.253",30.3,29.7,22.4,"0.214","0.341","0.275",44.7
"Reynolds, Bryan",668804,"PIT","CU","Curveball",0,0,"264",10.1,"74","0.206","0.309","0.264",36.4,28.4,23.9,"0.198","0.302","0.254",31.3
"García Jr., Luis",671277,"WSH","CU","Curveball",-0.9,-2,"251",13.3,"72","0.176","0.309","0.247",34.4,27.8,26.7,"0.193","0.309","0.243",31.3
"De La Cruz, Elly",682829,"CIN","CU","Curveball",-1.2,-4,"315",11.5,"69","0.152","0.258","0.21",46.9,50.7,35.4,"0.151","0.256","0.198",41.9
"Turang, Brice",668930,"MIL","CU","Curveball",-1,-2,"257",10.4,"65","0.177","0.274","0.231",13.4,20,13.8,"0.235","0.3","0.255",32.7
"Profar, Jurickson",595777,"SD","CU","Curveball",1.6,4,"282",10.3,"62","0.283","0.434","0.348",15.9,9.7,7.5,"0.304","0.476","0.375",38.8
"Castro, Willi",650489,"MIN","CU","Curveball",0.2,0,"241",9.6,"61","0.259","0.333","0.34",32.1,18,14.1,"0.26","0.389","0.328",46.5
