"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Soto, Juan",665742,"NYY","FC","Cutter",2.8,9,"317",10.7,"73","0.283","0.65","0.447",22.5,11,11.9,"0.336","0.657","0.477",58.5
"Santander, Anthony",623993,"BAL","FC","Cutter",1.6,5,"293",10.7,"72","0.333","0.635","0.458",22.8,16.7,17.4,"0.255","0.452","0.352",35.3
"Duran, Jarren",680776,"BOS","FC","Cutter",0.4,1,"257",9,"70","0.273","0.409","0.322",23.4,20,23,"0.286","0.43","0.332",40.4
"Ohtani, Shohei",660271,"LAD","FC","Cutter",-3,-8,"274",9.7,"70","0.286","0.508","0.366",28.8,12.9,22,"0.313","0.611","0.408",55.4
"De La Cruz, Elly",682829,"CIN","FC","Cutter",0.1,0,"269",9.8,"70","0.302","0.524","0.399",29.9,24.3,28.3,"0.263","0.478","0.354",52.2
"Olson, Matt",621566,"ATL","FC","Cutter",1.3,3,"269",9.1,"68","0.295","0.508","0.396",25.9,19.1,18.8,"0.26","0.396","0.333",59.2
"Adames, Willy",642715,"MIL","FC","Cutter",-0.6,-1,"250",9.1,"68","0.2","0.4","0.318",33.1,26.5,28.1,"0.193","0.451","0.322",38.1
"Volpe, Anthony",683011,"NYY","FC","Cutter",-0.3,-1,"229",8.2,"65","0.23","0.344","0.272",20.9,18.5,19.7,"0.277","0.409","0.306",27.5
"Henderson, Gunnar",683002,"BAL","FC","Cutter",-0.2,-1,"246",8.5,"65","0.328","0.552","0.41",27.3,23.1,28.3,"0.286","0.405","0.341",60.5
"Cronenworth, Jake",630105,"SD","FC","Cutter",-1.6,-4,"228",8.3,"64","0.179","0.357","0.288",16.3,14.1,15,"0.321","0.595","0.421",43.8
"Springer, George",543807,"TOR","FC","Cutter",-1.4,-3,"237",10.3,"61","0.17","0.319","0.308",35.8,19.7,22.6,"0.223","0.352","0.34",27.8
"Ramírez, José",608070,"CLE","FC","Cutter",0,0,"284",10.4,"61","0.241","0.552","0.348",15.3,13.1,11.1,"0.242","0.483","0.324",34
"Witt Jr., Bobby",677951,"KC","FC","Cutter",0.4,1,"248",9.5,"61","0.352","0.5","0.397",28.1,19.7,23.1,"0.293","0.505","0.372",46.5
"Devers, Rafael",646240,"BOS","FC","Cutter",-0.2,0,"222",9.3,"61","0.25","0.385","0.339",36.7,16.4,20.4,"0.286","0.471","0.369",37.2
"Freeman, Freddie",518692,"LAD","FC","Cutter",-0.8,-2,"231",9.2,"61","0.276","0.397","0.311",24,21.3,25.5,"0.267","0.38","0.3",37.8
"Reynolds, Bryan",668804,"PIT","FC","Cutter",1.3,3,"213",8.2,"61","0.291","0.455","0.389",26.4,24.6,32.6,"0.316","0.525","0.392",50
"Giménez, Andrés",665926,"CLE","FC","Cutter",-1,-2,"235",9.8,"61","0.25","0.393","0.3",25.2,16.4,16.9,"0.285","0.39","0.32",31.9
