"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Duran, Jarren","680776","2024","735","515",0.285,0.275,0.009999999999999953,0.492,0.453,0.03899999999999998,0.357,0.342,0.014999999999999958
"Ohtani, Shohei","660271","2024","731","479",0.31,0.314,-0.0040000000000000036,0.646,0.66,-0.014000000000000012,0.431,0.442,-0.01100000000000001
"Henderson, Gunnar","683002","2024","719","475",0.281,0.283,-0.0019999999999999463,0.529,0.492,0.03700000000000003,0.381,0.374,0.007000000000000006
"Semien, Marcus","543760","2024","718","546",0.237,0.251,-0.014000000000000012,0.391,0.391,0,0.306,0.313,-0.007000000000000006
"Soto, Juan","665742","2024","713","461",0.288,0.316,-0.028000000000000025,0.569,0.646,-0.07700000000000007,0.421,0.462,-0.041000000000000036
"Witt Jr., Bobby","677951","2024","709","538",0.332,0.315,0.017000000000000015,0.588,0.577,0.01100000000000001,0.41,0.407,0.0030000000000000027
"Judge, Aaron","592450","2024","704","390",0.322,0.31,0.01200000000000001,0.701,0.723,-0.02200000000000002,0.476,0.479,-0.0030000000000000027
"Guerrero Jr., Vladimir","665489","2024","697","524",0.323,0.321,0.0020000000000000018,0.544,0.567,-0.02299999999999991,0.398,0.408,-0.009999999999999953
"De La Cruz, Elly","682829","2024","696","403",0.259,0.24,0.019000000000000017,0.471,0.428,0.04299999999999998,0.349,0.328,0.020999999999999963
"Alonso, Pete","624413","2024","695","440",0.24,0.242,-0.0020000000000000018,0.459,0.461,-0.0020000000000000018,0.34,0.343,-0.0030000000000000027
"Tovar, Ezequiel","678662","2024","695","467",0.269,0.233,0.036000000000000004,0.469,0.401,0.06799999999999995,0.324,0.289,0.03500000000000003
"Reynolds, Bryan","668804","2024","692","469",0.275,0.27,0.0050000000000000044,0.447,0.463,-0.016000000000000014,0.343,0.35,-0.006999999999999951
"Schwarber, Kyle","656941","2024","692","384",0.248,0.256,-0.008000000000000007,0.485,0.512,-0.027000000000000024,0.366,0.38,-0.014000000000000012
"Lindor, Francisco","596019","2024","689","494",0.273,0.283,-0.009999999999999953,0.5,0.528,-0.028000000000000025,0.363,0.379,-0.016000000000000014
"Volpe, Anthony","683011","2024","689","486",0.243,0.238,0.0050000000000000044,0.364,0.332,0.03199999999999997,0.287,0.278,0.008999999999999952
"Ozuna, Marcell","542303","2024","688","440",0.302,0.287,0.015000000000000013,0.546,0.573,-0.026999999999999913,0.395,0.402,-0.007000000000000006
"Adames, Willy","642715","2024","688","440",0.251,0.243,0.008000000000000007,0.462,0.461,0.0010000000000000009,0.342,0.339,0.0030000000000000027
"Olson, Matt","621566","2024","685","435",0.247,0.247,0,0.457,0.448,0.009000000000000008,0.339,0.341,-0.0020000000000000018
"Carroll, Corbin","682998","2024","684","471",0.231,0.241,-0.009999999999999981,0.428,0.391,0.03699999999999998,0.325,0.324,0.0010000000000000009
"Altuve, Jose","514888","2024","682","509",0.295,0.262,0.032999999999999974,0.439,0.399,0.03999999999999998,0.344,0.316,0.02799999999999997
"Ramírez, José","608070","2024","682","544",0.279,0.259,0.020000000000000018,0.537,0.453,0.08400000000000002,0.364,0.329,0.034999999999999976
"Contreras, William","661388","2024","679","459",0.281,0.269,0.01200000000000001,0.466,0.471,-0.004999999999999949,0.359,0.358,0.0010000000000000009
"Arraez, Luis","650333","2024","672","611",0.314,0.31,0.0040000000000000036,0.392,0.4,-0.008000000000000007,0.323,0.325,-0.0020000000000000018
"Profar, Jurickson","595777","2024","668","473",0.28,0.282,-0.0019999999999999463,0.459,0.444,0.015000000000000013,0.365,0.364,0.0010000000000000009
"Santander, Anthony","623993","2024","665","471",0.235,0.228,0.0069999999999999785,0.506,0.445,0.061,0.345,0.324,0.020999999999999963
"Torres, Gleyber","650402","2024","665","461",0.257,0.24,0.017000000000000015,0.378,0.368,0.010000000000000009,0.313,0.307,0.006000000000000005
"Nimmo, Brandon","607043","2024","663","416",0.224,0.244,-0.01999999999999999,0.399,0.408,-0.008999999999999952,0.321,0.335,-0.014000000000000012
"Ward, Taylor","621493","2024","663","430",0.246,0.251,-0.0050000000000000044,0.426,0.458,-0.03200000000000003,0.325,0.344,-0.01899999999999996
"Castellanos, Nick","592206","2024","659","469",0.254,0.271,-0.017000000000000015,0.431,0.441,-0.010000000000000009,0.321,0.333,-0.01200000000000001
"Happ, Ian","664023","2024","657","403",0.243,0.243,0,0.441,0.446,-0.0050000000000000044,0.341,0.345,-0.003999999999999948
"Cronenworth, Jake","630105","2024","656","463",0.241,0.259,-0.018000000000000016,0.39,0.42,-0.02999999999999997,0.315,0.335,-0.020000000000000018
"Steer, Spencer","668715","2024","656","439",0.225,0.235,-0.009999999999999981,0.402,0.379,0.02300000000000002,0.316,0.315,0.0010000000000000009
"Goldschmidt, Paul","502671","2024","654","428",0.245,0.255,-0.010000000000000009,0.414,0.45,-0.03600000000000003,0.31,0.329,-0.019000000000000017
"Donovan, Brendan","680977","2024","652","511",0.278,0.277,0.0010000000000000009,0.417,0.419,-0.0020000000000000018,0.332,0.335,-0.0030000000000000027
"Hernández, Teoscar","606192","2024","652","402",0.272,0.25,0.02200000000000002,0.501,0.486,0.015000000000000013,0.36,0.346,0.014000000000000012
"Perez, Salvador","521692","2024","652","467",0.271,0.275,-0.0040000000000000036,0.456,0.522,-0.066,0.335,0.36,-0.024999999999999967
"Peña, Jeremy","665161","2024","650","500",0.266,0.263,0.0030000000000000027,0.394,0.394,0,0.305,0.31,-0.0050000000000000044
"Arozarena, Randy","668227","2024","648","384",0.219,0.219,0,0.388,0.381,0.007000000000000006,0.32,0.324,-0.0040000000000000036
"Chapman, Matt","656305","2024","647","419",0.247,0.25,-0.0030000000000000027,0.463,0.451,0.01200000000000001,0.34,0.341,-0.0010000000000000009
"McMahon, Ryan","641857","2024","645","386",0.242,0.243,-0.0010000000000000009,0.397,0.414,-0.01699999999999996,0.315,0.325,-0.010000000000000009
"Machado, Manny","592518","2024","643","473",0.275,0.272,0.0030000000000000027,0.472,0.461,0.010999999999999954,0.34,0.338,0.0020000000000000018
"Bleday, JJ","668709","2024","642","448",0.243,0.242,0.0010000000000000009,0.437,0.4,0.03699999999999998,0.33,0.319,0.01100000000000001
"Hoerner, Nico","663538","2024","641","519",0.273,0.28,-0.007000000000000006,0.373,0.353,0.020000000000000018,0.313,0.313,0
"Paredes, Isaac","670623","2024","641","443",0.238,0.22,0.017999999999999988,0.393,0.337,0.055999999999999994,0.327,0.304,0.02300000000000002
"Suárez, Eugenio","553993","2024","640","406",0.256,0.247,0.009000000000000008,0.469,0.447,0.021999999999999964,0.337,0.33,0.007000000000000006
"Rutschman, Adley","668939","2024","638","475",0.25,0.255,-0.0050000000000000044,0.391,0.393,-0.0020000000000000018,0.309,0.315,-0.006000000000000005
"Freeman, Freddie","518692","2024","638","450",0.282,0.278,0.003999999999999948,0.476,0.466,0.009999999999999953,0.365,0.367,-0.0020000000000000018
"Winn, Masyn","691026","2024","637","486",0.267,0.256,0.01100000000000001,0.416,0.358,0.057999999999999996,0.315,0.293,0.02200000000000002
"García, Adolis","666969","2024","637","409",0.224,0.227,-0.0030000000000000027,0.4,0.413,-0.012999999999999956,0.296,0.306,-0.010000000000000009
"India, Jonathan","663697","2024","637","417",0.248,0.266,-0.018000000000000016,0.392,0.412,-0.019999999999999962,0.333,0.352,-0.01899999999999996
"Castro, Willi","650489","2024","635","413",0.247,0.244,0.0030000000000000027,0.385,0.381,0.0040000000000000036,0.317,0.32,-0.0030000000000000027
"Arenado, Nolan","571448","2024","635","493",0.272,0.255,0.017000000000000015,0.394,0.356,0.038000000000000034,0.314,0.296,0.018000000000000016
"Alvarez, Yordan","670541","2024","635","461",0.308,0.303,0.0050000000000000044,0.567,0.595,-0.028000000000000025,0.402,0.411,-0.008999999999999952
"Bregman, Alex","608324","2024","634","499",0.26,0.257,0.0030000000000000027,0.453,0.417,0.03600000000000003,0.331,0.319,0.01200000000000001
"Giménez, Andrés","665926","2024","633","495",0.252,0.262,-0.010000000000000009,0.34,0.355,-0.014999999999999958,0.281,0.296,-0.014999999999999958
"Naylor, Josh","647304","2024","633","462",0.243,0.257,-0.014000000000000012,0.456,0.443,0.013000000000000012,0.332,0.335,-0.0030000000000000027
"Harper, Bryce","547180","2024","631","415",0.285,0.267,0.01799999999999996,0.525,0.474,0.051000000000000045,0.38,0.357,0.02300000000000002
"Raleigh, Cal","663728","2024","628","376",0.22,0.233,-0.013000000000000012,0.436,0.476,-0.03999999999999998,0.323,0.346,-0.022999999999999965
"Garcia, Maikel","672580","2024","626","481",0.231,0.26,-0.028999999999999998,0.332,0.366,-0.033999999999999975,0.27,0.3,-0.02999999999999997
