"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Olson, Matt",621566,"ATL","FF","4-Seam Fastball",0.4,5,"1143",38.8,"251","0.252","0.458","0.358",24.7,25.9,16.8,"0.258","0.49","0.369",52.6
"Carroll, Corbin",682998,"AZ","FF","4-Seam Fastball",-0.6,-6,"969",36.6,"249","0.196","0.338","0.314",18.4,18.5,19.6,"0.239","0.413","0.352",40.4
"Arraez, Luis",650333,"SD","FF","4-Seam Fastball",0.4,3,"904",37.4,"238","0.357","0.43","0.366",4.1,1.3,1.4,"0.328","0.416","0.337",20.7
"Donovan, Brendan",680977,"STL","FF","4-Seam Fastball",-1,-9,"906",36.4,"238","0.251","0.34","0.298",10,13.9,13.1,"0.267","0.415","0.327",37.5
"Semien, Marcus",543760,"TEX","FF","4-Seam Fastball",0.9,7,"773",29.4,"236","0.248","0.438","0.342",13.6,9.3,11.7,"0.284","0.487","0.37",45.7
"Nimmo, Brandon",607043,"NYM","FF","4-Seam Fastball",1.3,13,"1004",36.5,"235","0.253","0.462","0.391",18.2,22.6,18.5,"0.259","0.43","0.377",53.7
"Bregman, Alex",608324,"HOU","FF","4-Seam Fastball",-0.3,-2,"792",33.1,"233","0.246","0.415","0.324",8.2,10.3,10.6,"0.257","0.439","0.336",41.9
"Adames, Willy",642715,"MIL","FF","4-Seam Fastball",0.3,2,"866",31.7,"228","0.227","0.384","0.313",29.2,27.2,23.1,"0.224","0.439","0.327",51.1
"Santander, Anthony",623993,"BAL","FF","4-Seam Fastball",-0.6,-6,"1069",39,"227","0.197","0.433","0.291",21.6,22,14.5,"0.196","0.381","0.279",36
"De La Cruz, Elly",682829,"CIN","FF","4-Seam Fastball",1.1,10,"903",32.8,"226","0.284","0.543","0.395",27.4,30.1,27.4,"0.251","0.488","0.361",52.7
"Suárez, Eugenio",553993,"AZ","FF","4-Seam Fastball",0.7,6,"860",33.8,"225","0.262","0.487","0.356",26.1,24.9,20.7,"0.252","0.487","0.361",45.4
"Schwarber, Kyle",656941,"PHI","FF","4-Seam Fastball",0.7,7,"887",31.1,"224","0.247","0.54","0.403",25,24.1,22.7,"0.279","0.629","0.445",60.2
"Lindor, Francisco",596019,"NYM","FF","4-Seam Fastball",0.5,5,"992",36.6,"223","0.259","0.507","0.357",23.2,20.6,16.8,"0.288","0.598","0.402",57.7
"Duran, Jarren",680776,"BOS","FF","4-Seam Fastball",0.5,6,"1046",36.8,"223","0.281","0.542","0.392",23.8,24.2,19.9,"0.257","0.478","0.359",49.6
"Winn, Masyn",691026,"STL","FF","4-Seam Fastball",-0.4,-3,"849",33.2,"222","0.259","0.409","0.348",14.9,11.7,10.7,"0.246","0.359","0.317",37.5
"Cronenworth, Jake",630105,"SD","FF","4-Seam Fastball",-0.1,-2,"1103",40.1,"222","0.212","0.315","0.324",12.8,14,9.3,"0.251","0.402","0.352",40.5
"Profar, Jurickson",595777,"SD","FF","4-Seam Fastball",1,10,"944",34.5,"220","0.257","0.48","0.384",15.4,15.5,11.3,"0.257","0.45","0.375",41.1
"McMahon, Ryan",641857,"COL","FF","4-Seam Fastball",-0.1,-1,"1117",41,"219","0.246","0.396","0.334",26,34.2,20.3,"0.233","0.395","0.329",55.8
"Schanuel, Nolan",694384,"LAA","FF","4-Seam Fastball",-0.8,-6,"853",36.2,"218","0.213","0.331","0.314",8.7,14.2,14,"0.239","0.346","0.323",25.7
"Lowe, Nathaniel",663993,"TEX","FF","4-Seam Fastball",1.5,14,"931",39.5,"217","0.29","0.462","0.407",20.3,22.1,16.2,"0.274","0.429","0.391",38.5
"Happ, Ian",664023,"CHC","FF","4-Seam Fastball",0.2,2,"972",35.7,"214","0.274","0.486","0.384",22.6,20.6,14.3,"0.261","0.529","0.394",54.1
"Henderson, Gunnar",683002,"BAL","FF","4-Seam Fastball",0,0,"946",32.7,"213","0.245","0.473","0.361",21.6,27.2,22,"0.268","0.486","0.374",57.9
"Goldschmidt, Paul",502671,"STL","FF","4-Seam Fastball",-0.3,-3,"858",31.6,"213","0.247","0.479","0.356",25.8,27.2,19.1,"0.262","0.493","0.353",53.3
"Freeman, Freddie",518692,"LAD","FF","4-Seam Fastball",0.3,2,"772",30.6,"212","0.29","0.538","0.381",16.8,15.6,14.3,"0.284","0.543","0.389",45.2
"Castro, Willi",650489,"MIN","FF","4-Seam Fastball",0.1,1,"897",35.8,"210","0.228","0.389","0.333",23.3,23.3,17.9,"0.251","0.444","0.353",42.1
"Ward, Taylor",621493,"LAA","FF","4-Seam Fastball",1.5,12,"810",31.2,"210","0.268","0.546","0.389",19.1,19.5,16.9,"0.284","0.624","0.421",51
"Bleday, JJ",668709,"OAK","FF","4-Seam Fastball",0.3,2,"740",29.8,"209","0.282","0.486","0.381",14.4,12,12.3,"0.262","0.447","0.356",38.5
"Raleigh, Cal",663728,"SEA","FF","4-Seam Fastball",0.4,3,"801",31.9,"208","0.206","0.406","0.329",26.1,27.9,21.1,"0.22","0.476","0.357",54.2
"Chapman, Matt",656305,"SF","FF","4-Seam Fastball",0.9,8,"908",33.6,"207","0.259","0.53","0.367",26,27.1,18.5,"0.251","0.512","0.36",53.1
"Santana, Carlos",467793,"MIN","FF","4-Seam Fastball",0.3,2,"729",30.1,"205","0.241","0.46","0.354",19.1,13.2,14.8,"0.263","0.469","0.368",39.2
"Burleson, Alec",676475,"STL","FF","4-Seam Fastball",-1.2,-9,"710",33.5,"205","0.206","0.323","0.271",20.4,12.7,12.3,"0.228","0.378","0.29",39.4
"Tovar, Ezequiel",678662,"COL","FF","4-Seam Fastball",-1.1,-9,"822",32.5,"205","0.221","0.349","0.264",35.7,35.1,27.2,"0.207","0.335","0.25",40.8
"Rutschman, Adley",668939,"BAL","FF","4-Seam Fastball",0.4,3,"870",33.6,"205","0.264","0.445","0.353",13.7,13.2,10.9,"0.26","0.441","0.341",46.8
"Giménez, Andrés",665926,"CLE","FF","4-Seam Fastball",0.2,1,"752",31.3,"204","0.276","0.395","0.328",16.1,12.3,11.8,"0.282","0.41","0.337",36.4
"Busch, Michael",683737,"CHC","FF","4-Seam Fastball",-0.2,-2,"860",36.4,"203","0.213","0.432","0.349",23.5,26.1,19.8,"0.22","0.471","0.356",45.8
"Naylor, Josh",647304,"CLE","FF","4-Seam Fastball",2.1,13,"616",27,"201","0.285","0.57","0.395",10.4,10.9,13.8,"0.296","0.503","0.376",49.1
"Bell, Josh",605137,"AZ","FF","4-Seam Fastball",-0.4,-3,"729",32.6,"201","0.25","0.411","0.338",18.9,16.4,19.8,"0.252","0.424","0.332",47.6
"Torres, Gleyber",650402,"NYY","FF","4-Seam Fastball",-0.2,-1,"857",30.4,"200","0.229","0.38","0.335",23.5,21,13.8,"0.223","0.408","0.343",50.4
"Ohtani, Shohei",660271,"LAD","FF","4-Seam Fastball",3,24,"822",29,"199","0.295","0.639","0.447",27.6,22.1,19.2,"0.325","0.71","0.479",65.9
"Garcia, Maikel",672580,"KC","FF","4-Seam Fastball",-1.4,-12,"827",35,"199","0.222","0.313","0.282",16.9,21.1,18.2,"0.275","0.402","0.333",55.5
