"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"India, Jonathan",663697,"CIN","SI","Sinker",0.4,3,"581",21.9,"164","0.257","0.375","0.356",10.2,14.6,17.1,"0.318","0.446","0.392",39.8
"Alonso, Pete",624413,"NYM","SI","Sinker",0.3,2,"613",22.1,"160","0.288","0.417","0.363",11.7,14.4,21.3,"0.298","0.468","0.378",55.2
"Guerrero Jr., Vladimir",665489,"TOR","SI","Sinker",-0.1,0,"587",22.6,"157","0.293","0.4","0.346",8.7,8.9,12.6,"0.306","0.454","0.366",52.8
"Ozuna, Marcell",542303,"ATL","SI","Sinker",-0.1,-1,"512",17.8,"155","0.312","0.493","0.38",14,17.4,21.3,"0.311","0.543","0.403",58.9
"Springer, George",543807,"TOR","SI","Sinker",-0.6,-3,"506",22,"152","0.233","0.316","0.315",15.7,11.2,16.5,"0.274","0.399","0.343",42.2
"Bregman, Alex",608324,"HOU","SI","Sinker",-0.3,-1,"480",20.1,"152","0.295","0.41","0.356",9.5,9.9,14.3,"0.288","0.424","0.338",44
"Contreras, William",661388,"MIL","SI","Sinker",1.4,7,"520",19.4,"150","0.338","0.504","0.409",13.5,10.7,13,"0.341","0.516","0.402",55.9
"Peña, Jeremy",665161,"HOU","SI","Sinker",-1.5,-7,"469",20.6,"149","0.297","0.377","0.324",9.4,10.1,14.9,"0.283","0.365","0.313",37.9
"Machado, Manny",592518,"SD","SI","Sinker",2,10,"511",21.4,"149","0.37","0.529","0.414",10.5,8.1,12,"0.338","0.496","0.385",55.9
"Adames, Willy",642715,"MIL","SI","Sinker",-0.1,-1,"538",19.7,"148","0.289","0.467","0.358",18,15.5,20,"0.293","0.504","0.369",39.8
"Stephenson, Tyler",663886,"CIN","SI","Sinker",0.8,4,"489",25.1,"144","0.252","0.425","0.363",17.4,18.8,27.3,"0.27","0.429","0.347",46
"Chapman, Matt",656305,"SF","SI","Sinker",1.3,6,"478",17.7,"144","0.279","0.41","0.367",13.1,13.2,16.2,"0.312","0.472","0.396",51.5
"Díaz, Yandy",650490,"TB","SI","Sinker",0.5,3,"563",22.9,"144","0.29","0.366","0.351",9.2,13.9,17.5,"0.283","0.393","0.33",52.7
"Steer, Spencer",668715,"CIN","SI","Sinker",-0.1,0,"542",20.7,"143","0.262","0.429","0.342",12.7,13.3,16.5,"0.278","0.415","0.345",52.8
"Arraez, Luis",650333,"SD","SI","Sinker",-0.2,-1,"464",19.2,"142","0.318","0.371","0.325",4.6,2.1,3.3,"0.335","0.424","0.349",32.1
"Morel, Christopher",666624,"TB","SI","Sinker",-1.8,-8,"431",18.3,"141","0.23","0.294","0.277",16.5,12.1,19.3,"0.285","0.424","0.346",43.6
"Volpe, Anthony",683011,"NYY","SI","Sinker",0.2,1,"526",18.8,"140","0.304","0.416","0.361",12.7,14.3,17.4,"0.272","0.341","0.313",36.8
"Bohm, Alec",664761,"PHI","SI","Sinker",0.3,1,"436",20.5,"139","0.262","0.397","0.317",10.2,10.1,17.5,"0.325","0.472","0.371",50.9
"Suárez, Eugenio",553993,"AZ","SI","Sinker",0.4,2,"474",18.6,"135","0.322","0.449","0.385",15.3,12.6,17.7,"0.318","0.517","0.392",47.6
"Hoerner, Nico",663538,"CHC","SI","Sinker",0.6,3,"500",21.6,"134","0.302","0.414","0.399",4,4.5,6.5,"0.301","0.365","0.342",33.3
"Burger, Jake",669394,"MIA","SI","Sinker",0,0,"433",20.8,"134","0.3","0.45","0.366",13,10.4,24.1,"0.286","0.419","0.347",41.5
"Soto, Juan",665742,"NYY","SI","Sinker",3.5,17,"483",16.3,"134","0.381","0.717","0.509",15.7,14.2,18.6,"0.374","0.765","0.517",58.9
"Arcia, Orlando",606115,"ATL","SI","Sinker",-2,-9,"450",19.3,"133","0.238","0.352","0.296",13.4,8.3,12.4,"0.243","0.36","0.296",33.9
"Cronenworth, Jake",630105,"SD","SI","Sinker",-0.3,-1,"464",16.9,"133","0.248","0.322","0.31",9.4,11.3,13.9,"0.256","0.355","0.302",30.8
"Judge, Aaron",592450,"NYY","SI","Sinker",3.9,19,"488",16.9,"129","0.394","0.798","0.547",15.2,18.6,23.5,"0.368","0.791","0.523",72.9
"Hernández, Teoscar",606192,"LAD","SI","Sinker",0.8,4,"506",19.4,"129","0.355","0.518","0.429",15.9,10.9,12.2,"0.319","0.537","0.416",51
"Ohtani, Shohei",660271,"LAD","SI","Sinker",2.2,9,"430",15.2,"129","0.339","0.518","0.42",15.1,17.1,24.4,"0.327","0.528","0.411",58.9
"Suzuki, Seiya",673548,"CHC","SI","Sinker",2.8,14,"484",19.3,"129","0.381","0.59","0.469",11.4,18.6,18.3,"0.334","0.534","0.43",56.1
"Semien, Marcus",543760,"TEX","SI","Sinker",-0.1,0,"407",15.5,"128","0.265","0.402","0.338",10.7,10.9,13.6,"0.303","0.454","0.358",38.8
"Arozarena, Randy",668227,"SEA","SI","Sinker",-0.4,-2,"539",19.4,"128","0.276","0.327","0.375",19.7,14.1,14.3,"0.281","0.373","0.394",51.9
"Witt Jr., Bobby",677951,"KC","SI","Sinker",3.2,13,"391",15,"127","0.375","0.589","0.451",8.7,7.9,13.2,"0.371","0.674","0.472",59.6
"Neto, Zach",687263,"LAA","SI","Sinker",1.6,7,"441",19.3,"126","0.261","0.387","0.344",14.3,11.1,18.7,"0.279","0.449","0.357",39.8
"Young, Jacob",696285,"WSH","SI","Sinker",0.1,1,"438",22.4,"126","0.339","0.429","0.389",14.6,12.7,16,"0.287","0.367","0.33",34
"McCutchen, Andrew",457705,"PIT","SI","Sinker",0.7,3,"472",21.8,"125","0.264","0.491","0.396",15.5,12,12.4,"0.283","0.529","0.384",45.8
"Turner, Justin",457759,"SEA","SI","Sinker",0.6,3,"473",20.4,"125","0.311","0.369","0.381",8,6.4,7.2,"0.27","0.342","0.336",29.9
"Altuve, Jose",514888,"HOU","SI","Sinker",-0.1,-1,"456",18.6,"123","0.301","0.389","0.342",14.2,8.1,13.7,"0.294","0.401","0.334",29.1
"Soler, Jorge",624585,"ATL","SI","Sinker",-0.2,-1,"493",20.9,"123","0.262","0.447","0.383",17,14.6,18.6,"0.289","0.48","0.384",41.9
"Torres, Gleyber",650402,"NYY","SI","Sinker",2.2,10,"427",15.1,"122","0.439","0.645","0.496",14.7,13.9,15.2,"0.327","0.479","0.388",52.7
"Carroll, Corbin",682998,"AZ","SI","Sinker",2.5,10,"408",15.4,"122","0.314","0.524","0.412",11.6,14.8,23.1,"0.248","0.407","0.338",45.5
"Paredes, Isaac",670623,"CHC","SI","Sinker",0.8,4,"506",17.7,"120","0.305","0.526","0.42",12.1,15.8,13.3,"0.244","0.385","0.359",33.8
"Langford, Wyatt",694671,"TEX","SI","Sinker",0.1,0,"435",19.3,"120","0.282","0.408","0.35",13.7,15,20.9,"0.284","0.436","0.36",39.5
