"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Castellanos, Nick",592206,"PHI","SL","Slider",-0.9,-5,"561",23.9,"162","0.222","0.353","0.283",40.9,25.3,21.7,"0.222","0.316","0.258",25.9
"Tovar, Ezequiel",678662,"COL","SL","Slider",1.7,8,"459",18.2,"149","0.262","0.51","0.331",39.5,33.6,28.7,"0.19","0.352","0.231",38.8
"Witt Jr., Bobby",677951,"KC","SL","Slider",1.9,10,"545",21,"141","0.323","0.492","0.386",30.1,17,14.6,"0.283","0.437","0.343",40.2
"Perez, Salvador",521692,"KC","SL","Slider",0.8,4,"485",21.1,"135","0.26","0.415","0.335",34.7,20.7,18.4,"0.267","0.484","0.347",40.6
"Alonso, Pete",624413,"NYM","SL","Slider",-1.7,-9,"537",19.3,"132","0.16","0.277","0.228",37.3,31.1,21.8,"0.192","0.321","0.253",30.9
"Hernández, Teoscar",606192,"LAD","SL","Slider",-0.8,-4,"512",19.6,"130","0.214","0.452","0.292",46.5,36.9,28.1,"0.222","0.457","0.299",42.3
"Semien, Marcus",543760,"TEX","SL","Slider",-1.2,-6,"551",21,"128","0.218","0.311","0.257",33.5,25,20.1,"0.191","0.248","0.22",21.6
"Diaz, Yainer",673237,"HOU","SL","Slider",-0.2,-1,"391",18.4,"127","0.292","0.425","0.319",27.1,15,18.6,"0.297","0.46","0.33",48.6
"Altuve, Jose",514888,"HOU","SL","Slider",1.5,7,"458",18.7,"127","0.281","0.439","0.363",29.5,19.7,17.2,"0.251","0.396","0.321",30.3
"Rafaela, Ceddanne",678882,"BOS","SL","Slider",0.3,1,"419",20.2,"126","0.312","0.408","0.333",31.7,19,17.4,"0.264","0.341","0.268",27.7
"Peña, Jeremy",665161,"HOU","SL","Slider",0.3,1,"440",19.4,"125","0.244","0.387","0.286",36.2,26.4,21.3,"0.244","0.374","0.282",39.1
"Ward, Taylor",621493,"LAA","SL","Slider",-1.6,-8,"539",20.7,"125","0.165","0.296","0.238",35.2,32,23,"0.19","0.318","0.257",30.3
"Ohtani, Shohei",660271,"LAD","SL","Slider",3.8,17,"456",16.1,"121","0.321","0.826","0.495",40.2,25.6,20.9,"0.304","0.78","0.476",59
"Garcia, Maikel",672580,"KC","SL","Slider",0.6,3,"457",19.4,"119","0.272","0.342","0.295",18.7,13.4,11.4,"0.249","0.321","0.267",31.6
"Judge, Aaron",592450,"NYY","SL","Slider",1.4,7,"516",17.9,"119","0.244","0.456","0.397",41.9,25.2,19.7,"0.27","0.563","0.433",47.5
"Duran, Jarren",680776,"BOS","SL","Slider",0.1,1,"407",14.3,"119","0.232","0.429","0.326",31.7,30.3,23.8,"0.231","0.406","0.298",32.5
"Arenado, Nolan",571448,"STL","SL","Slider",-1.1,-5,"423",17.3,"119","0.22","0.303","0.256",26,25.2,20.3,"0.226","0.311","0.268",37
