"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Verdugo, Alex",657077,"NYY","FS","Split-Finger",0.5,1,"121",5.2,"38","0.189","0.324","0.232",19.6,18.4,15.2,"0.242","0.348","0.266",23.3
"Rutschman, Adley",668939,"BAL","FS","Split-Finger",-0.6,-1,"102",3.9,"35","0.156","0.313","0.22",12.5,14.3,11.1,"0.298","0.393","0.333",39.3
"Merrill, Jackson",701538,"SD","FS","Split-Finger",1.3,1,"100",4.5,"34","0.219","0.375","0.278",25.5,26.5,20.5,"0.227","0.445","0.309",39.1
"Ohtani, Shohei",660271,"LAD","FS","Split-Finger",5.2,7,"128",4.5,"34","0.441","1","0.599",32.3,29.4,22.7,"0.361","0.801","0.486",83.3
"Lindor, Francisco",596019,"NYM","FS","Split-Finger",1.7,2,"96",3.5,"33","0.29","0.452","0.342",35.2,27.3,27.3,"0.266","0.428","0.323",50
"Duran, Jarren",680776,"BOS","FS","Split-Finger",-1.8,-2,"101",3.6,"33","0.125","0.313","0.224",22.8,18.2,14,"0.278","0.436","0.318",34.6
"Alvarez, Yordan",670541,"HOU","FS","Split-Finger",5.9,6,"98",4.3,"33","0.433","0.867","0.561",25.4,6.1,5.9,"0.409","0.725","0.504",50
"Happ, Ian",664023,"CHC","FS","Split-Finger",0.3,0,"128",4.7,"33","0.115","0.192","0.252",30.6,33.3,21.2,"0.111","0.164","0.242",13.3
"Castro, Willi",650489,"MIN","FS","Split-Finger",-0.8,-1,"115",4.6,"32","0.194","0.258","0.241",43.9,31.3,23.8,"0.198","0.244","0.21",9.5
"Seager, Corey",608369,"TEX","FS","Split-Finger",2.2,2,"90",4.8,"32","0.226","0.323","0.281",24.4,15.6,29.4,"0.269","0.492","0.337",50
"Chisholm Jr., Jazz",665862,"NYY","FS","Split-Finger",0.5,1,"125",5,"32","0.214","0.214","0.278",37.7,25,15.4,"0.285","0.39","0.365",40
