"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Perez, Salvador",521692,"KC","ST","Sweeper",0.8,2,"230",10,"65","0.242","0.387","0.29",31.3,26.2,21.8,"0.209","0.379","0.271",28.9
"Guerrero Jr., Vladimir",665489,"TOR","ST","Sweeper",2.4,5,"191",7.3,"61","0.298","0.579","0.392",24.3,11.5,9.3,"0.358","0.776","0.492",56
"Judge, Aaron",592450,"NYY","ST","Sweeper",5.3,14,"274",9.5,"59","0.306","0.816","0.502",31.7,23.7,14.3,"0.295","0.896","0.526",45.7
"Goldschmidt, Paul",502671,"STL","ST","Sweeper",-0.5,-1,"237",8.7,"58","0.182","0.309","0.25",26.9,29.3,17.7,"0.221","0.426","0.297",42.1
"Volpe, Anthony",683011,"NYY","ST","Sweeper",-3,-7,"220",7.9,"58","0.145","0.236","0.182",16.8,20.7,15,"0.196","0.247","0.22",20
"Diaz, Yainer",673237,"HOU","ST","Sweeper",2.3,4,"179",8.4,"57","0.321","0.518","0.382",18.8,19.3,16.2,"0.343","0.58","0.399",33.3
"Vaughn, Andrew",683734,"CWS","ST","Sweeper",-3,-6,"209",8.9,"56","0.12","0.16","0.175",34.4,39.3,34.9,"0.105","0.145","0.155",16.7
"Arozarena, Randy",668227,"SEA","ST","Sweeper",-0.6,-1,"210",7.6,"54","0.245","0.449","0.331",35.4,27.8,19.7,"0.17","0.285","0.243",38.2
"Ozuna, Marcell",542303,"ATL","ST","Sweeper",1.9,4,"233",8.1,"54","0.245","0.633","0.358",39,31.5,19.5,"0.243","0.614","0.399",50
"Peña, Jeremy",665161,"HOU","ST","Sweeper",-1,-2,"185",8.1,"54","0.212","0.327","0.261",32.7,29.6,19.3,"0.169","0.29","0.207",23.7
"Castellanos, Nick",592206,"PHI","ST","Sweeper",0.4,1,"204",8.7,"53","0.235","0.431","0.315",32,22.6,16.7,"0.199","0.369","0.259",23.1
"García, Adolis",666969,"TEX","ST","Sweeper",1.1,2,"181",7.1,"53","0.224","0.469","0.339",40.4,30.2,19.8,"0.211","0.386","0.289",33.3
"Arenado, Nolan",571448,"STL","ST","Sweeper",-0.2,0,"202",8.2,"53","0.196","0.294","0.23",21.3,17,11.7,"0.213","0.329","0.249",16.7
"Rafaela, Ceddanne",678882,"BOS","ST","Sweeper",-2,-3,"151",7.3,"53","0.173","0.327","0.242",35,24.5,21.7,"0.183","0.308","0.207",17.5
"Torres, Gleyber",650402,"NYY","ST","Sweeper",-0.2,0,"238",8.4,"52","0.245","0.286","0.253",16.3,17.3,10.6,"0.202","0.257","0.218",14.6
"Steer, Spencer",668715,"CIN","ST","Sweeper",1,2,"191",7.3,"52","0.224","0.429","0.317",28.7,28.8,20.3,"0.195","0.295","0.238",11.8
"Morel, Christopher",666624,"TB","ST","Sweeper",-2.4,-5,"207",8.8,"51","0.125","0.25","0.212",45.6,43.1,31,"0.172","0.349","0.235",29.6
"Adames, Willy",642715,"MIL","ST","Sweeper",3.8,7,"182",6.7,"51","0.244","0.511","0.362",36,33.3,19.3,"0.232","0.423","0.329",25
"Altuve, Jose",514888,"HOU","ST","Sweeper",1.5,2,"153",6.2,"50","0.313","0.521","0.37",28.2,24,19.7,"0.237","0.34","0.268",30.6
"Arcia, Orlando",606115,"ATL","ST","Sweeper",-1,-2,"194",8.3,"50","0.191","0.34","0.277",29.3,18,13.6,"0.198","0.29","0.237",32.5
"Hoerner, Nico",663538,"CHC","ST","Sweeper",0.5,1,"179",7.7,"49","0.229","0.271","0.249",16.1,14.3,9.3,"0.222","0.275","0.227",9.8
"Bohm, Alec",664761,"PHI","ST","Sweeper",2.4,4,"169",8,"49","0.319","0.596","0.403",24.1,24.5,20.3,"0.261","0.434","0.302",36.1
"Chourio, Jackson",694192,"MIL","ST","Sweeper",0.7,1,"135",6.4,"49","0.188","0.313","0.215",33.3,22.4,19,"0.257","0.414","0.289",28.9
"Rodríguez, Julio",677594,"SEA","ST","Sweeper",0.5,1,"199",8.3,"48","0.196","0.283","0.28",42.6,35.4,20.2,"0.212","0.377","0.286",31
"Tovar, Ezequiel",678662,"COL","ST","Sweeper",0.8,1,"194",7.7,"48","0.261","0.609","0.376",36.4,35.4,22.1,"0.238","0.517","0.329",26.7
"Machado, Manny",592518,"SD","ST","Sweeper",5,8,"157",6.6,"48","0.311","0.756","0.429",25,14.6,9.7,"0.239","0.456","0.309",35
"O'Hoppe, Logan",681351,"LAA","ST","Sweeper",-0.9,-2,"189",9.5,"48","0.283","0.435","0.325",45.9,33.3,23.5,"0.195","0.285","0.229",26.7
"Swanson, Dansby",621020,"CHC","ST","Sweeper",0.2,0,"203",8.6,"48","0.174","0.261","0.228",26,29.2,17.7,"0.161","0.257","0.201",31.3
"Semien, Marcus",543760,"TEX","ST","Sweeper",-1,-2,"197",7.5,"48","0.182","0.409","0.284",32.1,29.2,20.3,"0.169","0.249","0.224",23.3
"Paredes, Isaac",670623,"CHC","ST","Sweeper",0.7,1,"213",7.5,"47","0.182","0.409","0.295",22.2,23.4,12.2,"0.098","0.178","0.155",18.2
"De La Cruz, Bryan",650559,"PIT","ST","Sweeper",-1.7,-4,"221",9.2,"47","0.178","0.2","0.21",29.1,31.9,18.5,"0.168","0.233","0.197",26.7
"Siri, Jose",642350,"TB","ST","Sweeper",-2.8,-5,"169",9.5,"47","0.2","0.356","0.232",30.3,29.8,25,"0.148","0.299","0.185",24.2
